"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9M0","2020-02-15 00:00:00","92.000","301.000","1.600","23.200","0.890","1008.300","","0.000","-99.000","-99.000","-99.000","27.900","","20.200",""
"C0S960","2020-02-15 00:00:00","32.000","301.000","2.400","24.000","0.790","1013.400","","0.000","-99.000","-99.000","-99.000","27.300","","21.200",""
"C0K430","2020-02-15 00:00:00","30.000","335.000","1.000","20.100","1.000","1014.400","","0.000","-99.000","-99.000","-99.000","27.200","","19.600",""
"C0Z170","2020-02-15 00:00:00","199.000","284.000","0.900","21.800","0.900","996.100","","0.000","-99.000","-99.000","-99.000","29.900","","18.100",""
"C0Z100","2020-02-15 00:00:00","36.000","0.000","0.000","21.300","0.990","1014.900","","0.000","-99.000","-99.000","-99.000","27.600","","19.100",""
"C0U710","2020-02-15 00:00:00","1942.000","96.000","1.700","10.800","0.990","811.700","","0.000","-99.000","-99.000","-99.000","16.900","","10.100",""
"C0SA30","2020-02-15 00:00:00","92.000","208.000","1.600","23.500","0.850","1007.400","","0.000","-99.000","-99.000","-99.000","27.600","","21.000",""
"C0V500","2020-02-15 00:00:00","6.000","0.000","0.000","24.600","0.920","1014.300","","0.000","-99.000","-99.000","-99.000","29.000","","22.100",""
"CM0160","2020-02-15 00:00:00","159.000","277.000","0.300","20.900","0.840","1000.400","","0.000","-99.000","-99.000","-99.000","31.400","","17.900",""
"C0V350","2020-02-15 00:00:00","36.000","262.000","0.700","22.300","0.930","1013.600","","0.000","-99.000","-99.000","-99.000","30.200","","18.000",""
"C0W120","2020-02-15 00:00:00","58.000","-99.000","-99.000","19.900","0.940","1010.600","","0.000","-99.000","-99.000","-99.000","25.900","","19.800",""
"C0R470","2020-02-15 00:00:00","103.000","34.000","0.400","23.600","0.960","1005.400","","0.000","-99.000","-99.000","-99.000","30.200","","19.500",""
"C0M770","2020-02-15 00:00:00","164.000","0.000","0.200","20.700","1.000","997.700","","0.000","-99.000","-99.000","-99.000","26.900","","18.700",""
"C0S930","2020-02-15 00:00:00","248.000","225.000","1.300","21.200","0.930","989.600","","1.000","-99.000","-99.000","-99.000","27.200","","17.300",""
"C0F9Y0","2020-02-15 00:00:00","3313.000","233.000","2.900","3.400","0.850","688.600","","0.500","-99.000","-99.000","-99.000","9.000","","2.800",""
"C0E790","2020-02-15 00:00:00","344.000","148.000","1.300","19.700","0.990","977.800","","0.000","-99.000","-99.000","-99.000","26.600","","16.500",""
"C0O810","2020-02-15 00:00:00","161.000","30.000","0.900","21.100","0.990","999.600","","13.000","-99.000","-99.000","-99.000","29.800","","17.300",""
"C0R520","2020-02-15 00:00:00","18.000","81.000","0.700","24.200","0.840","1014.700","","0.000","-99.000","-99.000","-99.000","28.500","","20.000",""
"C0R260","2020-02-15 00:00:00","76.000","97.000","1.100","24.100","0.730","1007.500","","0.000","-99.000","-99.000","-99.000","32.000","","19.300",""
"C0U950","2020-02-15 00:00:00","1012.000","288.000","4.900","13.700","1.000","906.300","","0.500","-99.000","-99.000","-99.000","19.200","","13.700",""
"C0O860","2020-02-15 00:00:00","38.000","0.000","0.200","21.600","0.990","1011.800","","2.500","-99.000","-99.000","-99.000","29.900","","19.700",""
